# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2581906437
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                          
# ........  ..............  ..............................  ................................................................................................................................................................................................
#
     1.61%  progetto        [kernel.kallsyms]               [k] mtree_load
     1.31%  progetto        [kernel.kallsyms]               [k] srso_alias_return_thunk
     1.20%  progetto        [kernel.kallsyms]               [k] show_stat
     1.14%  progetto        [kernel.kallsyms]               [k] mt_find
     1.06%  progetto        [kernel.kallsyms]               [k] srso_alias_safe_ret
     0.93%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000031648
     0.80%  progetto        [kernel.kallsyms]               [k] num_to_str
     0.74%  progetto        libc.so.6                       [.] __memmove_avx_unaligned_erms
     0.74%  progetto        libc.so.6                       [.] __vfscanf_internal
     0.74%  progetto        libc.so.6                       [.] __memset_avx2_unaligned_erms
     0.73%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000031650
     0.72%  progetto        [kernel.kallsyms]               [k] irq_get_next_irq
     0.71%  progetto:cs0    [kernel.kallsyms]               [k] __memset
     0.66%  progetto        [kernel.kallsyms]               [k] seq_put_decimal_ull_width
     0.65%  progetto        libc.so.6                       [.] __vfprintf_internal
     0.64%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000003164b
     0.55%  progetto        [kernel.kallsyms]               [k] seq_put_decimal_ull
     0.52%  progetto        [kernel.kallsyms]               [k] vsnprintf
     0.50%  progetto        liballegro.so.5.2.9             [.] al_transform_coordinates_3d
     0.49%  progetto:cs0    [kernel.kallsyms]               [k] srso_alias_return_thunk
     0.48%  progetto        libfreetype.so.6.18.1           [.] FT_Get_Kerning
     0.47%  progetto        [kernel.kallsyms]               [k] syscall_exit_to_user_mode
     0.47%  progetto        [kernel.kallsyms]               [k] __memset
     0.45%  progetto        [kernel.kallsyms]               [k] do_syscall_64
     0.45%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vram_mgr_compatible
     0.44%  progetto        liballegro.so.5.2.9             [.] al_compose_transform
     0.42%  progetto        ld-linux-x86-64.so.2            [.] __tls_get_addr
     0.42%  progetto        [kernel.kallsyms]               [k] number
     0.41%  progetto        [kernel.kallsyms]               [k] read_tsc
     0.41%  progetto        [kernel.kallsyms]               [k] __memcpy
     0.41%  progetto        liballegro.so.5.2.9             [.] al_ustr_get_next
     0.38%  progetto        libc.so.6                       [.] _IO_getc
     0.38%  progetto        [kernel.kallsyms]               [k] psi_group_change
     0.35%  progetto        [kernel.kallsyms]               [k] put_dec
     0.33%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vm_bo_update
     0.32%  progetto        libc.so.6                       [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.32%  progetto        [kernel.kallsyms]               [k] restore_fpregs_from_fpstate
     0.31%  progetto:cs0    [kernel.kallsyms]               [k] drm_exec_prepare_obj
     0.29%  progetto        libc.so.6                       [.] _IO_default_xsputn
     0.29%  progetto        [kernel.kallsyms]               [k] format_decode
     0.27%  progetto        [kernel.kallsyms]               [k] unix_stream_read_generic
     0.27%  progetto        ld-linux-x86-64.so.2            [.] do_lookup_x
     0.26%  progetto        libc.so.6                       [.] __GI___printf_fp_l
     0.26%  progetto        liballegro.so.5.2.9             [.] al_get_target_bitmap
     0.26%  progetto        [kernel.kallsyms]               [k] select_task_rq_fair
     0.26%  progetto        [kernel.kallsyms]               [k] entry_SYSCALL_64
     0.26%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_resv
     0.25%  progetto        [kernel.kallsyms]               [k] x64_sys_call
     0.25%  progetto        [kernel.kallsyms]               [k] clear_page_erms
     0.25%  progetto        [kernel.kallsyms]               [k] entry_SYSCALL_64_after_hwframe
     0.24%  progetto        libfreetype.so.6.18.1           [.] FT_MulDiv
     0.23%  progetto        [kernel.kallsyms]               [k] __mod_memcg_lruvec_state
     0.23%  progetto        [kernel.kallsyms]               [k] __rcu_read_lock
     0.23%  progetto        [kernel.kallsyms]               [k] __rcu_read_unlock
     0.23%  progetto:cs0    [kernel.kallsyms]               [k] srso_alias_safe_ret
     0.22%  progetto        liballegro.so.5.2.9             [.] al_get_bitmap_flags
     0.22%  progetto        [kernel.kallsyms]               [k] seq_puts
     0.22%  progetto        libfreetype.so.6.18.1           [.] FT_Get_Char_Index
     0.22%  progetto        [kernel.kallsyms]               [k] __memcg_slab_post_alloc_hook
     0.22%  progetto        [kernel.kallsyms]               [k] srso_alias_untrain_ret
     0.22%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_keep_later
     0.21%  progetto        ld-linux-x86-64.so.2            [.] _dl_lookup_symbol_x
     0.21%  progetto:cs0    [kernel.kallsyms]               [k] dma_resv_reserve_fences
     0.21%  progetto        libc.so.6                       [.] clock_nanosleep@GLIBC_2.2.5
     0.20%  progetto        [kernel.kallsyms]               [k] unix_poll
     0.20%  progetto        libc.so.6                       [.] __getpid
     0.19%  progetto        [kernel.kallsyms]               [k] kmem_cache_alloc
