# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.83%  progetto        [kernel.kallsyms]               [k] mtree_load
     1.58%  progetto        [kernel.kallsyms]               [k] show_stat
     1.16%  progetto        [kernel.kallsyms]               [k] num_to_str
     1.03%  progetto        libc.so.6                       [.] __memmove_avx_unaligned_erms
     0.93%  progetto        [kernel.kallsyms]               [k] srso_alias_safe_ret
     0.90%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000003164b
     0.81%  progetto        libc.so.6                       [.] __memset_avx2_unaligned_erms
     0.79%  progetto        [kernel.kallsyms]               [k] seq_put_decimal_ull_width
     0.76%  progetto        [kernel.kallsyms]               [k] mt_find
     0.75%  progetto        [kernel.kallsyms]               [k] irq_get_next_irq
     0.74%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000031650
     0.73%  progetto        libc.so.6                       [.] __vfscanf_internal
     0.72%  progetto        [kernel.kallsyms]               [k] srso_alias_return_thunk
     0.70%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000031648
     0.60%  progetto        [kernel.kallsyms]               [k] seq_put_decimal_ull
     0.58%  progetto        [kernel.kallsyms]               [k] __memset
     0.50%  progetto        ld-linux-x86-64.so.2            [.] do_lookup_x
     0.50%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vram_mgr_compatible
     0.47%  progetto        libc.so.6                       [.] __vfprintf_internal
     0.43%  progetto        liballegro.so.5.2.9             [.] al_compose_transform
     0.41%  progetto        [kernel.kallsyms]               [k] syscall_exit_to_user_mode
     0.40%  progetto:cs0    [kernel.kallsyms]               [k] __memset
     0.38%  progetto:cs0    [kernel.kallsyms]               [k] srso_alias_return_thunk
     0.37%  progetto        [kernel.kallsyms]               [k] __memcpy
     0.37%  progetto        liballegro.so.5.2.9             [.] al_transform_coordinates_3d
     0.37%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_resv
     0.36%  progetto        libc.so.6                       [.] __GI___printf_fp_l
     0.36%  progetto        [kernel.kallsyms]               [k] srso_alias_untrain_ret
     0.36%  progetto        liballegro.so.5.2.9             [.] al_get_next_event
     0.34%  progetto:cs0    [kernel.kallsyms]               [k] srso_alias_safe_ret
     0.33%  progetto        [kernel.kallsyms]               [k] dequeue_entity
     0.32%  progetto        liballegro.so.5.2.9             [.] al_ustr_get_next
     0.31%  progetto        [kernel.kallsyms]               [k] put_dec
     0.31%  progetto        [kernel.kallsyms]               [k] psi_group_change
     0.31%  progetto        [kernel.kallsyms]               [k] restore_fpregs_from_fpstate
     0.30%  progetto:cs0    [kernel.kallsyms]               [k] sort_r
     0.30%  progetto        [kernel.kallsyms]               [k] x64_sys_call
     0.30%  progetto        ld-linux-x86-64.so.2            [.] _dl_lookup_symbol_x
     0.29%  progetto        [kernel.kallsyms]               [k] kstat_irqs_usr
     0.29%  progetto        [kernel.kallsyms]               [k] number
     0.28%  progetto        [kernel.kallsyms]               [k] clear_page_erms
     0.28%  progetto        [kernel.kallsyms]               [k] vsnprintf
     0.28%  progetto        libfreetype.so.6.18.1           [.] FT_MulDiv
     0.28%  progetto        [kernel.kallsyms]               [k] format_decode
     0.28%  progetto        libc.so.6                       [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.27%  progetto:cs0    [kernel.kallsyms]               [k] drm_exec_prepare_obj
     0.27%  progetto        [kernel.kallsyms]               [k] entry_SYSCALL_64_after_hwframe
     0.27%  progetto:cs0    [kernel.kallsyms]               [k] ttm_bo_validate
     0.27%  progetto        ld-linux-x86-64.so.2            [.] __tls_get_addr
     0.27%  progetto        ld-linux-x86-64.so.2            [.] _dl_relocate_object
     0.27%  progetto        [kernel.kallsyms]               [k] render_sigset_t
     0.26%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_keep_later
     0.26%  progetto:cs0    [kernel.kallsyms]               [k] objects_lookup
     0.25%  progetto        [kernel.kallsyms]               [k] mutex_lock
     0.25%  progetto        [kernel.kallsyms]               [k] strlen
     0.25%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e54d
     0.25%  progetto        [kernel.kallsyms]               [k] ktime_get
     0.24%  progetto        [kernel.kallsyms]               [k] __mod_memcg_lruvec_state
     0.24%  progetto        liballegro.so.5.2.9             [.] al_get_target_bitmap
     0.24%  progetto        libc.so.6                       [.] _IO_getc
     0.23%  progetto        [kernel.kallsyms]               [k] read_tsc
     0.23%  progetto        [kernel.kallsyms]               [k] put_dec_trunc8
     0.23%  progetto        libc.so.6                       [.] __nanosleep
     0.23%  progetto        libc.so.6                       [.] _IO_default_xsputn
