# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 2617849324
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                 
# ........  ..............  ..............................  .......................................................................................................................................................................................................................................................................
#
     2.08%  progetto        [kernel.kallsyms]               [k] mtree_load
     1.61%  progetto        [kernel.kallsyms]               [k] show_stat
     1.20%  progetto        libc.so.6                       [.] __vfscanf_internal
     1.18%  progetto        [kernel.kallsyms]               [k] srso_alias_safe_ret
     1.01%  progetto        [kernel.kallsyms]               [k] srso_alias_return_thunk
     1.00%  progetto        [kernel.kallsyms]               [k] mt_find
     0.94%  progetto        libc.so.6                       [.] __memset_avx2_unaligned_erms
     0.94%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000003164b
     0.89%  progetto        [kernel.kallsyms]               [k] seq_put_decimal_ull_width
     0.84%  progetto        libc.so.6                       [.] __memmove_avx_unaligned_erms
     0.83%  progetto        [kernel.kallsyms]               [k] num_to_str
     0.79%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000031650
     0.74%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000031648
     0.68%  progetto        [kernel.kallsyms]               [k] irq_get_next_irq
     0.64%  progetto        libc.so.6                       [.] __vfprintf_internal
     0.63%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vram_mgr_compatible
     0.57%  progetto        [kernel.kallsyms]               [k] seq_put_decimal_ull
     0.53%  progetto        [kernel.kallsyms]               [k] __memset
     0.53%  progetto        [kernel.kallsyms]               [k] kstat_irqs_usr
     0.50%  progetto        [kernel.kallsyms]               [k] vsnprintf
     0.50%  progetto        ld-linux-x86-64.so.2            [.] __tls_get_addr
     0.49%  progetto        libc.so.6                       [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.49%  progetto:cs0    [kernel.kallsyms]               [k] objects_lookup
     0.47%  progetto        [kernel.kallsyms]               [k] syscall_exit_to_user_mode
     0.46%  progetto        [kernel.kallsyms]               [k] put_dec
     0.46%  progetto:cs0    [kernel.kallsyms]               [k] __memset
     0.45%  progetto        [kernel.kallsyms]               [k] __memcpy
     0.44%  progetto        [kernel.kallsyms]               [k] read_tsc
     0.43%  progetto        liballegro.so.5.2.9             [.] al_compose_transform
     0.42%  progetto        ld-linux-x86-64.so.2            [.] _dl_relocate_object
     0.35%  progetto        [kernel.kallsyms]               [k] __get_user_8
     0.34%  progetto        liballegro.so.5.2.9             [.] al_ustr_get_next
     0.33%  progetto        libfreetype.so.6.18.1           [.] FT_MulDiv
     0.33%  progetto:cs0    [kernel.kallsyms]               [k] srso_alias_safe_ret
     0.32%  progetto        [kernel.kallsyms]               [k] unix_stream_read_generic
     0.32%  progetto        libfreetype.so.6.18.1           [.] FT_Get_Kerning
     0.31%  progetto        [kernel.kallsyms]               [k] number
     0.28%  progetto:cs0    [kernel.kallsyms]               [k] drm_exec_prepare_obj
     0.28%  progetto        [kernel.kallsyms]               [k] psi_group_change
     0.28%  progetto        libc.so.6                       [.] _IO_default_xsputn
     0.28%  progetto        [kernel.kallsyms]               [k] entry_SYSCALL_64
     0.27%  progetto        [kernel.kallsyms]               [k] format_decode
     0.27%  progetto        liballegro.so.5.2.9             [.] al_use_transform
     0.27%  progetto        [kernel.kallsyms]               [k] do_syscall_64
     0.27%  progetto        [kernel.kallsyms]               [k] kmem_cache_alloc
     0.26%  progetto        [kernel.kallsyms]               [k] x64_sys_call
     0.25%  progetto:cs0    [kernel.kallsyms]               [k] srso_alias_return_thunk
     0.25%  progetto        [kernel.kallsyms]               [k] __rcu_read_unlock
     0.25%  progetto        ld-linux-x86-64.so.2            [.] do_lookup_x
     0.24%  progetto        [kernel.kallsyms]               [k] entry_SYSCALL_64_after_hwframe
     0.24%  progetto        [kernel.kallsyms]               [k] seq_write
